param_path,value,is_default,n_repeats,trial_id,median.overall.accuracy,stddev.overall.accuracy,median.overall.mean_f1,stddev.overall.mean_f1,median.summary.decay_trivial.mean_f1,stddev.summary.decay_trivial.mean_f1,median.summary.core_persistence.mean_f1,stddev.summary.core_persistence.mean_f1,median.summary.revival.mean_f1,stddev.summary.revival.mean_f1
associative_boost,0.01,False,3,lti-0017,0.9047619047619048,0.036369648372665375,0.6840391110894094,0.012840229910605896,0.6139122315592904,0.09622504486493764,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
associative_boost,0.03,True,3,lti-0018,0.9047619047619048,0.03636964837266544,0.663517569139296,0.012723863653637724,0.4591503267973856,0.08935182737458497,0.9333333333333333,0.009622504486493792,0.4288824900589606,0.0032991443953692976
associative_boost,0.05,False,3,lti-0019,0.8571428571428571,0.02380952380952378,0.6853005921127953,0.013448978848666205,0.6139122315592904,0.09696224368101482,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
associative_boost,0.07,False,3,lti-0020,0.9047619047619048,0.0,0.6853744600438061,0.009979863811079957,0.6139122315592904,0.09297916280841258,0.9333333333333333,0.009622504486493792,0.4288824900589606,0.0032991443953692976
associative_boost,0.1,False,3,lti-0021,0.8571428571428571,0.0,0.6833164651286683,0.01463181908119673,0.6164374840845429,0.10050011261858202,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0
decay_model,"""exponential""",True,3,lti-0022,0.8809523809523809,0.01374643498070539,0.685626412676711,0.013542149328311963,0.6139122315592904,0.0998392509953105,0.9333333333333333,0.009622504486493792,0.4288824900589606,0.0
decay_model,"""power""",False,3,lti-0023,0.9047619047619048,0.01374643498070539,0.6897269417772401,0.001467894397221525,0.6258169934640523,0.006873217490352663,0.9270833333333333,0.00601406530405858,0.4288824900589606,0.0032991443953692976
power_decay_gamma,0.7,False,3,lti-0024,0.9047619047619048,0.036369648372665375,0.6876105396608381,0.004280076636868643,0.6139122315592904,0.0,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0
power_decay_gamma,1.0,False,3,lti-0025,0.8809523809523809,0.01374643498070539,0.6873270929488199,0.014956283620808383,0.6139122315592904,0.0998392509953105,0.9166666666666666,0.00601406530405858,0.4288824900589606,0.0
power_decay_gamma,1.4427,True,3,lti-0026,0.9047619047619048,0.01374643498070539,0.685626412676711,0.0018328579974273768,0.6139122315592904,0.0,0.9166666666666666,0.009622504486493792,0.4288824900589606,0.0
power_decay_gamma,2.0,False,3,lti-0027,0.9047619047619048,0.023809523809523836,0.6890592673000419,0.0014455793748678932,0.6258169934640523,0.006873217490352663,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
power_decay_gamma,2.5,False,3,lti-0028,0.9047619047619048,0.023809523809523836,0.6753089523592507,0.011906966286209339,0.4591503267973856,0.09297916280841258,0.9270833333333333,0.027664700398669598,0.4288824900589606,0.0032991443953692976
base_decay_rates.semantic,30.0,False,3,lti-0029,0.8809523809523809,0.01374643498070539,0.6778221798724783,0.002634082639102659,0.44724556489262374,0.006873217490352663,0.9270833333333333,0.0036084391824352125,0.4288824900589606,0.0
base_decay_rates.semantic,60.0,False,3,lti-0030,0.9047619047619048,0.0,0.6877428147931132,0.015065979128442302,0.6139122315592904,0.09863965126261032,0.9270833333333333,0.008419691425682062,0.4288824900589606,0.0032991443953692976
base_decay_rates.semantic,120.0,True,3,lti-0031,0.9047619047619048,0.01374643498070539,0.6888010158513141,0.007120141133352684,0.6139122315592904,0.006873217490352663,0.9333333333333333,0.026048610185432027,0.4288824900589606,0.0
base_decay_rates.semantic,180.0,False,3,lti-0032,0.9285714285714286,0.02749286996141078,0.685626412676711,0.011995908191428742,0.6139122315592904,0.09622504486493764,0.9166666666666666,0.009622504486493792,0.4288824900589606,0.0
